text,neutral,positive,negative,compound,Sentiment
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt hubballi_infra live coverage inauguration indian institute information technology iiit dharwad campus honourable presiden ,0.0,0.807,0.193,0.4767,Positive
rt pibchennai office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
iiit d inaugurated one feather crown dharwad honorable president smt droupadi murmu ji dedicate ,0.0,0.788,0.212,0.5423,Positive
indian institute technology patna iitpat year saw huge surge 74 pre placement offers ppos ,0.0,0.85,0.15,0.3182,Positive
rt ujjainsmartcity another visits community outreach program indian institute technology indore iitindore amp national ,0.0,0.861,0.139,0.2732,Positive
rt kissfoundation kiss du organised lecture science technology non linear optical absorption dr balaram sahoo ind ,0.0,0.843,0.157,0.4215,Positive
latestanonpress daily wage wrks working day night raise us want help family studyin ,0.0,0.733,0.267,0.4588,Positive
latestanonpress but studying iit life time dream want help family haining good job woth ,0.0,0.468,0.532,0.8847,Positive
indian institute technology patna iitpat year saw huge surge 74 pre placement offers ppos ,0.0,0.85,0.15,0.3182,Positive
another visit community outreach program indian institute technology indore iitindore amp nationa ,0.0,0.84,0.16,0.2732,Positive
rt smartcities_hua another visit community outreach program indian institute technology indore iitindore amp national i ,0.0,0.87,0.13,0.2732,Positive
rt pib_india office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
opportunity m pharm msc join indian institute technology ,0.0,0.545,0.455,0.6124,Positive
a team researchers indian institute technology iitroorkee roorkee identified validated thre ,0.0,0.84,0.16,0.2263,Positive
rt ians_india a team researchers indian institute technology iitroorkee roorkee identified validated three protei ,0.0,0.872,0.128,0.2263,Positive
rt ians_india a team researchers indian institute technology iitroorkee roorkee identified validated three protei ,0.0,0.872,0.128,0.2263,Positive
rt ians_india a team researchers indian institute technology iitroorkee roorkee identified validated three protei ,0.0,0.872,0.128,0.2263,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
nri_junior_colleges_tirupati provides best programes iit jee jeemains neet iim nits bitsat courses hi ,0.0,0.741,0.259,0.6369,Positive
rt smartcities_hua another visit community outreach program indian institute technology indore iitindore amp national i ,0.0,0.87,0.13,0.2732,Positive
rt pibchennai office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
rt pib_india office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
shivani_tr indian institute technology delhi superb nice pic ,0.0,0.465,0.535,0.7845,Positive
rt alamdar1917 skill development chuntiwari machhal a first kind resource mapping skil ,0.0,0.764,0.236,0.5267,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt knimbusindia iitroorkee we truly honored partner indian institute technology roorkee national seminar i ,0.0,0.642,0.358,0.7717,Positive
rt drsubhassarkar addressed discussion organized modi 20 dreams meets delivery book illustrating notable journey 20 ,0.0,0.838,0.162,0.4019,Positive
rt arivuchinna excited share i joined assistant professor department chemistry national institute techno ,0.0,0.705,0.295,0.5574,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
rt pibchennai office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dhfwka spike protein vaccines may effective multiple variants coronavirus sars cov 2 according study rese ,0.0,0.829,0.171,0.4767,Positive
rt dt_next indian institute technology madras iit madras researchers shown spike protein vaccines may effective ,0.0,0.819,0.181,0.4767,Positive
rt pibchennai office principal scientific adviser celebrate swachhta saarthi samaroh 2022 30th september 1st october 2022 ,0.0,0.802,0.198,0.5719,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
greetings eco warriors ieee banglore section soo happy bring bangalore humanitarian technology co ,0.0,0.629,0.371,0.7579,Positive
greetings eco warriors ieee banglore section soo happy bring bangalore humanitarian technology co ,0.0,0.629,0.371,0.7579,Positive
rt tf2k22 in accordance the skills night club presents hackme this opportunity showcase talent innovation ,0.0,0.581,0.419,0.8248,Positive
rt ujjainsmartcity another visits community outreach program indian institute technology indore iitindore amp national ,0.0,0.861,0.139,0.2732,Positive
congratulations dvcon india 2022 hackathon winners nikhitha avula vinay ratnala tarun gupta indian ins ,0.0,0.632,0.368,0.7906,Positive
congratulations dvcon india 2022 hackathon winners nikhitha avula vinay ratnala tarun gupta indian ins ,0.0,0.632,0.368,0.7906,Positive
rt pakistanengine2 the presofpakistan the pakpmo officialdgispr we given chance compete indian institute techn ,0.0,0.867,0.133,0.25,Positive
dimensions g iiit nagpur excited present game jam a game development challenge part annual tech ,0.0,0.778,0.222,0.4019,Positive
freedomcat14 knopeye quite agrawal graduate atomic energy central sc ,0.0,0.792,0.208,0.2732,Positive
govt job for m pharm msc join indian institute technology govtjob jobalert jobopenings jobopportunity ,0.0,0.855,0.145,0.296,Positive
